pestname;value;week;SectionId;Section
Sciara;7;17;10;Afdeling 2
Sciara;7;34;10;Afdeling 2
Sciara;12;34;10;Afdeling 2
Sciara;9;25;10;Afdeling 2
Sciara;7;25;10;Afdeling 2
Sciara;16;19;10;Afdeling 2
Sciara;7;19;10;Afdeling 2
Sciara;13;22;10;Afdeling 2
Sciara;12;22;10;Afdeling 2
Sciara;14;22;10;Afdeling 2
Sciara;14;33;9;Afdeling 1
Sciara;11;33;9;Afdeling 1
Sciara;7;24;9;Afdeling 1
Sciara;7;18;9;Afdeling 1
Sciara;9;14;9;Afdeling 1
Sciara;7;25;9;Afdeling 1
Sciara;17;19;9;Afdeling 1
Sciara;21;19;9;Afdeling 1
Sciara;15;19;9;Afdeling 1
Sciara;18;34;9;Afdeling 1
Sciara;1;51;27;Afdeling 18
Sciara;1;51;27;Afdeling 18
Sciara;1;50;27;Afdeling 18
Sciara;1;31;27;Afdeling 18
Sciara;1;34;27;Afdeling 18
Sciara;1;46;26;Afdeling 17
Sciara;1;6;26;Afdeling 17
Sciara;1;49;26;Afdeling 17
Sciara;1;9;26;Afdeling 17
Sciara;1;50;26;Afdeling 17
Sciara;1;50;26;Afdeling 17
Sciara;1;47;26;Afdeling 17
Sciara;1;44;26;Afdeling 17
Sciara;1;49;26;Afdeling 17
Sciara;1;46;26;Afdeling 17
Sciara;1;51;26;Afdeling 17
Sciara;1;50;26;Afdeling 17
Sciara;1;48;26;Afdeling 17
Sciara;1;47;26;Afdeling 17
Sciara;1;4;26;Afdeling 17
Sciara;1;47;26;Afdeling 17
Sciara;1;4;26;Afdeling 17
Sciara;1;46;25;Afdeling 16
Sciara;1;44;25;Afdeling 16
Sciara;1;32;25;Afdeling 16
Sciara;1;33;25;Afdeling 16
Sciara;1;32;25;Afdeling 16
Sciara;1;51;25;Afdeling 16
Sciara;1;31;25;Afdeling 16
Sciara;1;48;25;Afdeling 16
Sciara;1;27;24;Afdeling 15
Sciara;1;50;24;Afdeling 15
Sciara;1;50;24;Afdeling 15
Sciara;1;32;24;Afdeling 15
Sciara;1;31;24;Afdeling 15
